DragonID,Gen_Sex,Col_Period,Estrogen_plate,Estrogen_CV,logEstrogen,Testosterone_plate,Testosterone_CV,logTestosterone,Reproductive_Proxy,sample_to_last_clutch
9570,ZZF,Mid,E03,1.4,5.520126693,T03,0.2,5.480638923,4,-4
81803,ZWF,Late,E02,1.9,6.104793231,T02,0.3,8.524168805,-220,220
3592,ZZF,Earl,E07,2.1,5.667579424,T07,0.8,8.444622499,36,-36
82443,ZZF,Late,E04,0.7,5.947164287,T04,0.8,6.285377169,-258,258
9555,ZWF,Mid,E02,2.5,5.651318904,T02,1.1,5.494432245,-38,38
81803,ZWF,Earl,E06,3.4,5.971261838,T08,1.3,6.318968114,25,-25
3592,ZZF,Mid,E01,2.7,6.067653684,T01,1.4,6.363028104,-46,46
9559,ZWF,Late,E02,1.6,5.977196574,T02,1.4,6.194405391,-238,238
9570,ZZF,Earl,E03,0.6,5.482026847,T03,2.4,7.016609684,58,-58
82142,ZZF,Late,E04,2.3,5.691484945,T04,2.7,6.682526221,-196,196
81826,ZWF,Earl,E01,1.1,5.422008837,T08,3,5.075173815,15,-15
81803,ZWF,Mid,E06,3.5,5.626421352,T07,4.1,4.892852258,-25,25
9550,ZZF,Earl,E01,3.2,5.884250461,T01,4.7,6.103676538,34,-34
9564,ZWF,Earl,E04,0.3,5.60088805,T04,4.7,5.30661617,10,-10
9124,ZZF,Earl,E03,1.3,5.617982483,T08,5.2,6.402469836,34,-34
9568,ZZF,Earl,E01,2.4,5.774551544,T01,5.6,8.089482474,16,-16
9568,ZZF,Mid,E05,1.4,5.722495182,T05,5.6,7.091464761,-68,68
9551,ZZF,Late,E06,1.5,5.254017106,T07,5.7,4.371555335,-165,165
9570,ZZF,Late,E05,1.4,5.204006685,T08,6,4.677490848,-113,113
82142,ZZF,Mid,E01,1,5.864577696,T01,6,7.44716836,-2,2
9152,ZZF,Earl,E05,0.2,5.216745712,T08,7.5,5.401174752,18,-18
9559,ZWF,Earl,E02,10.2,5.844510133,T02,7.5,6.071507255,11,-11
81826,ZWF,Late,E03,3.2,5.667579424,T03,8.2,6.052089169,-265,265
9551,ZZF,Earl,E02,4,5.56579673,T08,8.5,5.298317367,5,-5
9520,ZWF,Earl,E01,0.7,5.123963978,T01,9.3,5.347107531,3,-3
81826,ZWF,Mid,E01,4.6,5.634789602,T01,11.6,5.703782475,-70,70
9550,ZZF,Mid,E04,1.5,5.55682806,T04,12,6.040254711,-50,50
9555,ZWF,Late,E01,4.9,5.634789602,T01,14.3,4.283586562,-155,155
3505,ZZF,Earl,E07,2.8,5.164785973,T07,15.1,4.773505501,18,-18
9550,ZZF,Late,E06,0,5.390592641,T07,15.4,3.218875825,-245,245
9555,ZWF,Earl,E06,4.6,5.216745712,T07,18.2,4.536177314,13,-13
82443,ZZF,Earl,E03,4.2,5.714832309,T03,18.4,5.339139361,21,-21
3415,ZZF,Late,E05,0.9,5.401174751,T05,18.8,4.481117537,-127,127
3592,ZZF,Late,E07,5.9,5.781771792,T07,19.2,6.263398263,-241,241
9520,ZWF,Late,E06,12.4,5.204006685,T07,26.8,3.912023005,-244,244
82443,ZZF,Mid,E03,1.5,6.078406476,T03,36.2,6.529418838,-63,63
9520,ZWF,Mid,E01,4.8,5.574685678,T01,70.9,NA,-49,49
9568,ZZF,Late,E06,2.8,5.324634673,T07,73.9,NA,-185,185
9152,ZZF,Late,E05,5.8,5.241747013,T08,109.1,NA,-142,142
3415,ZZF,Earl,NA,NA,NA,NA,NA,NA,NA,NA
3415,ZZF,Mid,E06,6.5,5.081404364,T07,NA,NA,NA,NA
3505,ZZF,Late,E06,NA,NA,T06,NA,NA,NA,NA
3505,ZZF,Mid,NA,NA,NA,NA,NA,NA,NA,NA
9124,ZZF,Late,NA,NA,NA,NA,NA,NA,NA,NA
9124,ZZF,Mid,NA,NA,NA,NA,NA,NA,NA,NA
9152,ZZF,Mid,NA,NA,NA,NA,NA,NA,NA,NA
9551,ZZF,Mid,NA,NA,NA,NA,NA,NA,NA,NA
9559,ZWF,Mid,NA,NA,NA,NA,NA,NA,NA,NA
9564,ZWF,Late,E05,0.7,4.817589773,T07,NA,NA,NA,NA
9564,ZWF,Mid,E07,3,5.529429086,T07,NA,NA,NA,NA
82142,ZZF,Earl,NA,NA,NA,NA,NA,NA,NA,NA